#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
11076	Ryanodine	172	1	171	2492	17758165	17760657	0.01	0.00	41.4	2.386e-02
7357	Prion Diseases	172	1	171	2529	17758128	17760657	0.01	0.00	40.8	2.421e-02
19658	Biotinylation	172	1	171	2534	17758123	17760657	0.01	0.00	40.7	2.425e-02
14911	Citrulline	172	1	171	2587	17758070	17760657	0.01	0.00	39.9	2.475e-02
1671	Torpedo	172	1	171	2588	17758069	17760657	0.01	0.00	39.9	2.476e-02
15441	Carboxyhemoglobin	172	1	171	2618	17758039	17760657	0.01	0.00	39.4	2.505e-02
595	Brain Stem	172	2	170	25342	17735315	17760657	0.01	0.00	8.1	2.551e-02
5545	AIDS Dementia Complex	172	1	171	2674	17757983	17760657	0.01	0.00	38.6	2.557e-02
21557	Gene Expression Regulation, Enzymologic	172	2	170	25540	17735117	17760657	0.01	0.00	8.1	2.588e-02
10922	Indans	172	1	171	2730	17757927	17760657	0.01	0.00	37.8	2.610e-02
9574	Calcium Radioisotopes	172	1	171	2752	17757905	17760657	0.01	0.00	37.5	2.631e-02
12338	Adenosine Diphosphate Ribose	172	1	171	2756	17757901	17760657	0.01	0.00	37.5	2.635e-02
1540	Mice, Inbred C57BL	172	4	168	115423	17645234	17760657	0.02	0.01	3.6	2.661e-02
113	Muscle, Skeletal	172	3	169	66213	17694444	17760657	0.02	0.00	4.7	2.711e-02
10688	Glycosylation End Products, Advanced	172	1	171	2895	17757762	17760657	0.01	0.00	35.7	2.766e-02
8902	Plant Poisoning	172	1	171	2963	17757694	17760657	0.01	0.00	34.8	2.830e-02
14837	Cardiolipins	172	1	171	3031	17757626	17760657	0.01	0.00	34.1	2.894e-02
17529	Uncoupling Agents	172	1	171	3055	17757602	17760657	0.01	0.00	33.8	2.916e-02
