HGNC ID	Approved Symbol	Approved Name	Locus Type
5459	IGAD1	immunoglobulin A (IgA) deficiency susceptibility 1	phenotype only
5463	IGES	immunoglobulin E concentration, serum	phenotype only
5954	IHG1	iris hypoplasia with glaucoma 1	phenotype only
6103	IOSCA	infantile onset spinocerebellar ataxia (autosomal recessive)	phenotype only
6185	IV	inversus situs, viscerum	phenotype only
6194	JBS	Jacobsen syndrome	phenotype only
21089	JBTS1	Joubert syndrome 1	phenotype only
6197	JMS	Juberg-Marsidi syndrome	phenotype only
6198	JPD	juvenile periodontitis	phenotype only
6209	K12T	K12 temperature sensitivity complementing	phenotype only
6213	KAL3	Kallmann syndrome 3 (autosomal dominant)	phenotype only
6303	KCS	Kenny-Caffey syndrome	phenotype only
6311	KFM	Klippel-Feil malformation	phenotype only
6313	KFSD	keratosis follicularis spinulosa decalvans	phenotype only
6382	KMS	Kabuki mental retardation syndrome	phenotype only
6384	KNO	Knobloch syndrome	phenotype only
6466	KSS	Kearns-Sayre syndrome	phenotype only
6468	KWE	keratolytic winter erythema (Oudtshoorn skin disease)	phenotype only
6479	LAKLG	lymphokine-activated killer cell ligand	phenotype only
6520	LCA3	Leber congenital amaurosis 3	phenotype only
19105	LCA9	Leber congenital amaurosis 9	phenotype only
15737	LCS1	lymphedema-cholestasis syndrome 1	phenotype only
6576	LGMD1D	limb girdle muscular dystrophy 1D (autosomal dominant)	phenotype only
33443	LGMD1F	limb girdle muscular dystrophy 1F (autosomal dominant)	phenotype only
32230	LGMD1G	limb girdle muscular dystrophy 1G (autosomal dominant)	phenotype only
33439	LGMD2L	limb girdle muscular dystrophy 2L (autosomal recessive)	phenotype only
6591	LHON	Leber optic neuropathy	phenotype only
6615	LIMM	lethal infantile mitochonrial myopathy	phenotype only
6661	LOH1CR1	loss of heterozygosity, 1, chromosomal region 1	phenotype only
6704	LRS1	Larsen syndrome 1 (autosomal dominant)	phenotype only
6755	MAA	microphthalmia or anophthalmia and associated anomalies	phenotype only
33244	MACOM	macrophthalmia, colobomatous, with microcornea	phenotype only
6926	MBS1	Moebius syndrome 1	phenotype only
6927	MBS2	Moebius syndrome 2	phenotype only
6928	MBS3	Moebius syndrome 3	phenotype only
6939	MCDR1	macular dystrophy, retinal, 1 (North Carolina type)	phenotype only
18438	MCDR2	macular dystrophy, retinal 2	phenotype only
20206	MCDR3	macular dystrophy, retinal 3	phenotype only
32303	MCDR4	macular dystrophy, retinal, 4 (North Carolina type with progressive sensorineural hearing loss)	phenotype only
6941	MCKD1	medullary cystic kidney disease 1 (autosomal dominant)	phenotype only
6942	MCKD2	medullary cystic kidney disease 2 (autosomal dominant)	phenotype only
6952	MCO	microphthalmia (Los Angeles type)	phenotype only
6955	MCPH2	microcephaly, primary autosomal recessive 2	phenotype only
6956	MCPH3	microcephaly, primary autosomal recessive 3	phenotype only
6957	MCPH4	microcephaly, primary autosomal recessive 4	phenotype only
15665	MCPHA	microcephaly, Amish	phenotype only
6961	MCS	Miles-Carpenter X-linked mental retardation syndrome	phenotype only
6978	MDRV	muscular dystrophy, with rimmed vacuoles	phenotype only
6987	MEAX	myopathy with excessive autophagy	phenotype only
6988	MEB	muscle-eye-brain disease	phenotype only
6999	MEHMO	mental retardation, epileptic seizures, hypogonadism and -genitalism, microcephaly and obesity syndrome	phenotype only
7008	MELAS	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes	phenotype only
7031	MF4	metacarpal 4-5 fusion	phenotype only
7052	MGC1	megalocornea 1 (X-linked)	phenotype only
7065	MHAC	microhydranencephaly	phenotype only
7071	MHS2	malignant hyperthermia susceptibility 2	phenotype only
7073	MHS4	malignant hyperthermia susceptibility 4	phenotype only
7075	MHS6	malignant hyperthermia susceptibility 6	phenotype only
7122	MKS2	Meckel syndrome, type 2	phenotype only
7145	MLS	microphthalamia with linear skin defects	phenotype only
19144	MMVP1	myxomatous mitral valve prolapse 1	phenotype only
19145	MMVP2	myxomatous mitral valve prolapse 2	phenotype only
32384	MPD2	myopathy, distal 2	phenotype only
7209	MPE	malignant proliferation, eosinophil	phenotype only
7210	MPFD	myopathy with fiber type disproportion	phenotype only
14595	MROS	Melkersson-Rosenthal syndrome	phenotype only
7236	MRSD	mental retardation-skeletal dysplasia	phenotype only
33243	MRT4	mental retardation, non-syndromic, autosomal recessive, 4	phenotype only
7238	MRX1	mental retardation, X-linked 1 (non-dysmorphic)	phenotype only
7249	MRX2	mental retardation, X-linked 2 (non-dysmorphic)	phenotype only
7260	MRX3	mental retardation, X-linked 3	phenotype only
7271	MRX4	mental retardation, X-linked 4	phenotype only
7282	MRX5	mental retardation, X-linked 5	phenotype only
7293	MRX6	mental retardation, X-linked 6 (Okinawa type)	phenotype only
7304	MRX7	mental retardation, X-linked 7	phenotype only
7311	MRX8	mental retardation, X-linked 8	phenotype only
7239	MRX10	mental retardation, X-linked 10	phenotype only
7240	MRX11	mental retardation, X-linked 11	phenotype only
